BUBBLE NOISE,0.15,0.1,0.12,0.1,0.15,0.12,0.05,0.03,0.06,0.05,0.08,0.05
BUBBLE NOISE+5,0.25,0.25,0.28,0.25,0.38,0.19,0.2,0.11,0.18,0.13,0.17,0.15
VOICE,0.18,0.22,0.15,0.32,0.5,1.1,0.18,0.16,0.18,0.3,0.26,0.44
VOICE+5,0.32,0.41,0.3,0.6,0.35,0.78,0.25,0.32,0.33,0.65,0.52,0.83
NOISE TRAIN,0.075,0.07,0.07,0.07,0.08,0.06,0.04,0.03,0.05,0.035,0.04,0.03
NOISE TRAIN+5,0.18,0.12,0.18,0.15,0.2,0.12,0.08,0.07,0.11,0.075,0.12,0.07
Foot,0.3,0.35,0.45,0.45,0.4,0.45,0.25,0.3,0.45,0.3,0.4,0.4
