page, condition,name, HRTF, Reverb, SampleVolume, HeadPhoneEQ,EarTrack, HeadTrack, SamplePos,SourceType, Real, name,
1,1,A,kemar,calibrated,calibrated,equalized,ear,head,0,cosa,real,H,
1,2,B,personal,calibrated,calibrated,equalized,ear,head,0,legname,real,A,
